possession.id,period,how.possession.ended,team.with.ball,end.time,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,points,defensive.fouls,offensive.rebounds,alternates
159,3,end.of.period,home,2160,0,0,1,0,0,0,0,0,1,TRUE
160,4,missed.shot,away,2172,1,0,0,0,0,0,0,0,0,
161,4,last.ft.made,home,2184,1,0,0,0,2,1,1,1,2,TRUE
162,4,last.ft.made,away,2194,0,0,0,0,2,2,2,1,0,TRUE
163,4,turnover,home,2213,0,0,0,0,0,0,0,0,0,TRUE
164,4,made.shot,away,2226,1,1,0,0,0,0,2,0,0,TRUE
165,4,missed.shot,home,2240,1,0,0,0,0,0,0,0,0,TRUE
166,4,made.shot,away,2250,0,0,1,1,0,0,3,0,0,TRUE
167,4,made.shot,home,2272,1,1,0,0,0,0,2,0,0,TRUE
168,4,missed.shot,away,2286,1,0,0,0,0,0,0,0,0,TRUE
169,4,missed.shot,home,2305,1,0,1,0,0,0,0,1,1,TRUE
170,4,made.shot,away,2319,0,0,1,1,0,0,3,0,0,TRUE
171,4,made.shot,home,2334,0,0,1,1,0,0,3,0,0,TRUE
172,4,turnover,away,2345,0,0,0,0,0,0,0,1,0,TRUE
173,4,missed.shot,home,2365,0,0,1,0,0,0,0,0,0,TRUE
174,4,last.ft.made,away,2370,0,0,0,0,3,3,3,1,0,TRUE
175,4,made.shot,home,2381,0,0,1,1,0,0,3,0,0,TRUE
176,4,missed.shot,away,2400,0,0,1,0,0,0,0,0,0,TRUE
177,4,missed.shot,home,2416,1,0,0,0,0,0,0,0,0,TRUE
178,4,missed.shot,away,2441,0,0,2,0,0,0,0,0,1,TRUE
179,4,made.shot,home,2449,0,0,1,1,0,0,3,0,0,TRUE
180,4,missed.shot,away,2476,1,0,1,0,0,0,0,0,1,TRUE
181,4,made.shot,home,2491,0,0,1,1,0,0,3,1,0,TRUE
182,4,made.shot,away,2512,1,1,0,0,0,0,2,1,0,TRUE
183,4,missed.shot,home,2530,1,0,0,0,0,0,0,0,0,TRUE
184,4,made.shot,away,2535,1,1,0,0,0,0,2,0,0,TRUE
185,4,missed.shot,away,2535,0,0,0,0,1,0,0,1,0,FALSE
186,4,missed.shot,home,2560,1,0,0,0,0,0,0,0,0,TRUE
187,4,last.ft.made,away,2568,1,1,0,0,2,1,3,2,1,TRUE
188,4,turnover,home,2590,2,0,0,0,0,0,0,1,2,TRUE
189,4,made.shot,away,2611,0,0,1,1,0,0,3,0,0,TRUE
190,4,turnover,home,2631,0,0,1,0,0,0,0,0,1,TRUE
191,4,missed.shot,away,2654,1,0,0,0,0,0,0,0,0,TRUE
192,4,last.ft.made,home,2660,0,0,0,0,2,2,2,1,0,TRUE
193,4,missed.shot,away,2676,1,0,0,0,0,0,0,0,0,TRUE
194,4,last.ft.made,home,2682,1,1,0,0,1,1,3,1,0,TRUE
195,4,missed.shot,away,2701,0,0,1,0,0,0,0,0,0,TRUE
196,4,made.shot,home,2709,1,1,0,0,0,0,2,0,0,TRUE
197,4,last.ft.made,away,2723,0,0,0,0,2,1,1,1,1,TRUE
198,4,last.ft.made,home,2746,0,0,0,0,3,2,2,1,1,TRUE
199,4,made.shot,away,2757,1,1,0,0,0,0,2,0,0,TRUE
200,4,missed.shot,home,2784,0,0,1,0,0,0,0,0,0,TRUE
201,4,made.shot,away,2792,0,0,1,1,0,0,3,0,0,TRUE
202,4,made.shot,home,2801,0,0,1,1,0,0,3,0,0,TRUE
203,4,made.shot,away,2821,1,1,0,0,0,0,2,0,0,TRUE
204,4,turnover,home,2830,0,0,0,0,0,0,0,1,0,TRUE
205,4,turnover,away,2848,0,0,0,0,0,0,0,0,0,TRUE
206,4,last.ft.made,home,2851,0,0,0,0,2,2,2,1,0,TRUE
207,4,missed.shot,away,2872,0,0,1,0,0,0,0,0,0,TRUE
